id,artist_id,artist_popularity,artist_followers_total,main_artist
4IO8X9W69dIQe0EC5ALXhq,1URnnhqYAYcrqrcwql10ft,90,10767637,21 Savage
3hzxm5yFiOKeZ5f24Q9hsq,3E31HqA00iCX9nRhesw6LD,68,480268,Snelle
43ic0un1f9Nak0ZCQgvKjY,2CCgb0KApjfQDuTppovpf8,72,215446,Rvfv
2ghcGrI4iQKmRyhOW4M2fq,5kYS7bPX5tm3jrsYqqNSZN,44,51844,ZONE
2UhseSJptJuQYplsoa3YO7,7aY4XP3cJx7pFPYHMaF8pi,42,7366,Miika
17UfXrL7Run3GyZJW4uRjC,1elUiq4X7pxej6FRlrEzjM,83,16139738,Jorge & Mateus
0bKDQionn4VKcgNKbs4SWX,6RdcIWVKYYzNzjQRd3oyHS,72,706753,Pinguini Tattici Nucleari
0m07iIv6osyNMbDEuvA5dw,06nvjg4wBANK6DCHjqtPNd,77,950609,Mahmood
2lFRw6rPXivo6kNmghePcK,2ZRQcIgzPCVaT9XKhXZIzh,76,782414,Gryffin
0Q7ZM15J0cJA9rd7pQYdRq,4VMYDCV2IEDYJArk749S6m,89,25797127,Daddy Yankee
4pBwZlClhq6vV6qdSkyf00,4CuVt3p02OaWu4klQuJoDP,40,17426,Z9
4B3JmoMKhoAfqbc7tQj6Mm,1xqolkIzTFMmqgCuD48WNt,57,1037453,Shade
0CjTQ01ADXx3BMO07LxpKx,0QqmgpgI0C1DyyDk49vnxY,69,111220,MV Killa
5bslw8S2BzyKtvoBZZ4HU3,0Hc3yVWeBOkwf4jCW79BLh,29,2080,Hipsumhaps
2WQGWtOpnSkEyd46FUoJft,5GIcOzVFTNnzArytjmTkW8,66,356747,Bizzey
1klF2rAOesyjy4x3zeRRUB,42oUCvVenl71P78Lo56Lew,33,37160,Dudi Buzaglo
1PStrDpL6FofA405TZB8nM,4BKC2HOGEqtYz2Xbgp9N1q,59,1036025,Wegz
0xs15y7PkGlS49he9RbUZu,4upwdFMlZBmQ68jP9jPzjK,72,1828665,Gemitaiz
5TjU2caAGjHBiPDS1BVA4q,5Oj5jQ98vsoHeIGqCS9Dfq,51,29690,Msaki
4by9RkVOiNRaRtCMQi9Jnu,3b5bg1k6N9u31OtzSfK2dP,62,701278,Dosseh
4P4hdhH7b69oFiQc0wLRzv,7HdsVIhhv574okdV85jWog,0,0,Michele 69
58CrldAc1Z5WIBozT1NMJH,5y2Xq6xcjJb2jVM54GHK3t,82,6094085,John Legend
2TOzTqQXNmR2zDJXihjZ2e,1McMsnEElThX1knmY4oliG,91,13739421,Olivia Rodrigo
63TO0yxEIognWa8NWQuziW,3McTKJDgAb7YHbPYOp9LQL,37,18856,Donny Montell
7n7VsX3sv66znBwA8b5uhp,43ZHCT0cAZBISjO8DG9PnE,80,6291755,Elvis Presley
68cy4S3cwPZdMGuIH9izml,1UAzmnFgjizIDvtHvnCdEq,67,354499,Stebin Ben
4N3NidW3a8bsTIv87ZelRa,6xolQjWFT24ykWke55u9fU,51,198880,Carolina Deslandes
4NmiNWf3mFp078EFfvvgnr,6q87vizIEdEN4NvlR6mjfT,67,4535400,Sheila On 7
5UTZks9eAqVuNCjR2YQaxr,4ec09tknYr0531ivdBMNIg,50,25871,Vidar Villa
4RPbbUpLuQsbVVqt5O6y0g,6xolQjWFT24ykWke55u9fU,51,198880,Carolina Deslandes
5Y9fnynLlIvqtM710MHzfz,1i8SpTcr7yvPOmcqrbnVXY,91,31119922,Ozuna
3NgCzSW98SsqBdpYcnm4kv,4nDoRrQiYLoBzwC5BhVJzF,85,25399720,Camila Cabello
