id,popularity,label
5sAdOr5RVRg4r0yWmiruEn,30,EDGE Records (HMR Music Kft.)
0BBvGqilS1ad2YibMoE2k2,62,BMG Rights Management (US) LLC
28N1eIogMmtRKvihmbojLE,38,Universal Music Oy
0ekCIIfQMuY9KrnDVSKaR7,22,Atlantic Records UK
6jVxxY8jnlWSlwkPGheuf9,0,Universal Music Italia srL.
6hNJubn34veyRBjjArtHvO,24,1539614 Records DK
7bDA6hpfN4i0jhkFAHr4jj,20,Four Music Local
4jbWZmf7kRxCBD6tgVepYh,55,Virgin Records
6ODBgffUHQMymAenXKfVZk,16,WM Finland
5pHfVBN9hM9DRYK9Znst1L,22,Gold Soul Records
74nFzcXwMxIwcWELYtQTqj,38,"爵士寶貝有限公司 Jazz Baby Co., Ltd."
2ZNOMjykBRTRPcQgUqdmZ3,9,1213040 Records DK
4ErGRjPQmoszrAZbVFBIIG,42,Jass Records
2NQINd10CuEMzd7wBMZc7G,56,"(SME US Latin) Duars Entertainment, Corp. (2)"
2bpzM7lqnf6yAvo6X14VbY,36,Roxy Recordings
77Q0xwlCfFLhUNO1Sh8ORM,52,BPG/RVG/RCA Records
4fN8zytqAhMjWjQfYNGD2C,34,Puteh Entertainment
5VEzsr819DjOq64JZEtGAx,41,Universal Music AS
