id,popularity,album.release_date,explicit,album.id
6zw6EBrOdGTbKzC0djTOlD,62,2018-07-17,TRUE,5pQwQRnQOuKrbVUVnGMEN4
5OPQQfeFTdMJIxPdFcUDGq,43,2021-11-19,TRUE,2iL8eaJzsTSQWlvHmzJgdU
7cHRpZZsPiRVmHC3Plx514,42,2018-09-28,TRUE,1QYOPX4RpvNHymuRgokbJu
3SJ6W7eOPHUD5CRkDvQibF,0,2017-07-17,FALSE,28vWTqLym7ipQ8SiGE6kQe
2OxdxZjYXxXcf08uUBoCEN,39,2021-07-02,FALSE,4IAAx2jW7EfzuSQbDXBEpF
3VPCLuHJmy3kZgDVrTbeTl,0,2018-05-04,TRUE,1lQ4Zmfnj2HmItPkJaz9D6
2X485T9Z5Ly0xyaghN73ed,77,2015-07-17,FALSE,79dL7FLiJFOO0EoehUHQBv
6H6pp6uVW33kAm6qSBnysf,39,2019-08-20,FALSE,3DXz6ItR9DzIw9S0h3Cxfc
2nsNFIAOHNbQbONWm6GcUV,41,2014-07-03,FALSE,1lauDjICyj7zDpHVur6ro4
0VgkVdmE4gld66l8iyGjgx,82,2017-06-30,TRUE,17FBoXK1NU2rvJBbzdzw0r
28fPIWqAfqoEEGSb0rA4LZ,73,2021-12-10,FALSE,6mirm559XB8jiveF7ONuUx
7tMhLP7gTnPlZJfTOM5s40,43,2014-11-17,FALSE,1wh1ZBjnsRLQNFnpV5CLrg
0u0a0p4hWefiy09bYqzZ2A,27,2015-07-31,FALSE,7sGj7ltMAhHgqzuBfVCCsL
3EhETAtO1rYjgeZF81b9H6,0,2020-03-28,FALSE,5j4OKx0lzJtrUIfRGpXjbu
6ZacixqGSH8N9x8sVu4IGB,32,2018-02-02,FALSE,5Bz4LyLgeymDldn6kQD7CU
4F3LG2ig1CNeBvryO4T2RP,13,2018-01-12,FALSE,2rQw4oS6csqVHYYZAOLQhI
17UfXrL7Run3GyZJW4uRjC,66,2021-04-22,FALSE,57h6WHDjwNGIs5NMeKYEoL
7GbfGq1WLHFknJfNnZPRci,15,2019-03-01,TRUE,3UsVt0OQvwMcO8XMMZGcap
0z0kUUd2jPQiI2Ob8VXajc,72,2021-11-19,FALSE,6oR3FdaFqFAUJtQBQ0Lm3I
32XBFCVVE30K06Q4GQyhvP,40,2020-06-05,FALSE,24BKh5PQBlPe7OwZmGXvSk
1OS1168YlC3rDPBpEF5GLp,0,2018-03-02,FALSE,1Nbu3pWN9lLuyUAb0mCDUP
5nMKJJ5Rl6X1yn58aVeICO,65,2018-04-08,FALSE,6anqXAk4NZxdkUwvpfUqsB
0fGs5cgZrsFtti0jwFdyZf,0,2019-06-07,TRUE,4dijn151VgL78n73sQBMMq
3r9FFjLrAIQjoR8pSHVPC9,51,2020-02-21,FALSE,6mJZTV8lCqnwftYZa94bXS
1nSYbKEsXyHdG3iIn4PbpL,36,2021-05-17,FALSE,7mnMiGdr3rZQ1wDlPfXOzd
0HRMIu0FgBAkY0r8XGzExe,57,2014-05-13,FALSE,2YN1HrfqqAkts3D8DdVSHX
5wGrBRO9UgVHhfg9FBLOkH,58,2020-03-06,TRUE,6SIjrlpvLx49TVATlp3O8Q
5EBvHC0SGFJDenBJafqOX4,54,2017-06-02,FALSE,7GjG91tyHQNGEHzKJaqOi0
6zFIONGdhAlQfeFZwAUBx1,0,2017-12-01,FALSE,6dYJifZzPaitN1ClvSO6q8
22EcjIJeK8URIlIPUEA7xL,23,2021-02-19,TRUE,7p58Bt69henJ9fJ7RlXgRL
5naCF6qs5PXR4UTGecayNP,0,2020-04-03,TRUE,5zCvAq0MLqUv0vE96iMbv2
7aLA9WPyVfmB3WeciQ6Fb3,54,2018-05-31,FALSE,2CEK6jQBdbmko7H3Y5JGAx
43ancRlYir01uCVZJhptHi,5,2019-08-22,FALSE,1cepXtGsFdUYVlLgGFWMST
0oBsVtrDebt26nMG1Rm9X5,0,2018-06-15,FALSE,4aeY3tMnM0zOoo4caBV0h6
0wQQ8S9w1H8ErPCeUHDVhz,41,2021-12-11,FALSE,7qG8rkXszscDkonvFVlmpM
6LIKzlFZMw9YirYlde6zNw,0,2020-06-22,TRUE,12jxP3JbUHP70E9QWsAVV6
4KaBvpvtFM5OELSKKEMouy,52,2020-07-30,TRUE,6JRjBRTUhJX3Cof2E4BBer
3rQY17nivv8jZ9alARtfs3,25,2018-11-22,FALSE,0y1RKv2dzJ4jIjHfZgkvB5
7tIFeLQFS7A6DLcZ12Mv3U,52,2020-05-25,FALSE,75sPv82oaDKYjtuuS4l3Vc
2gRZ71ywny0ZEhr7R3KT0c,37,2021-06-25,TRUE,6KGDcUVT6gGuJfpiOQ6lBG
6Fha6tXHkL3r9m9nNqQG8p,65,2014-09-08,FALSE,6rIbiUMmZJfqJRnXhVxFvg
5B8LcPwJWf8I6tdBszInyh,23,2018-06-08,FALSE,7mYzHceCfANO82EKxM4XYy
0c4IEciLCDdXEhhKxj4ThA,70,2012-09-24,FALSE,3KuXEGcqLcnEYWnn3OEGy0
6UhwXeyt00uwZN5G7bMGZn,56,2020-02-27,FALSE,74DCv4GTrywML92b9VG9II
0k23rRi1B8ZHrKtzECGoyk,70,2016-06-24,FALSE,4cGc9Eeb3Gjff2Aq5ILLEf
5wnIOC4S9Btixp9A9Z2fH9,0,2020-07-30,TRUE,3c7aCMHLblilTOJfB6ebxO
5e9DrLUUZraUE7mmniufjn,63,2021-10-15,FALSE,7IW9irtFutjRET02MjOjdW
6mjHsAUoJvB25sd2uvYTdA,0,2018-08-18,FALSE,1WzVAxZWm3JDNbI0jzk0dF
0d7qHnB6CNvn1UsO5i3ElE,66,2019-04-12,FALSE,3OIhzweJb5vgDOnPHTl3Dp
4bjdKuJEtkr8IEwBiqyxAq,45,2021-03-29,FALSE,0OyMCkjFdI6EoYeAQlEAjS
3iw6V4LH7yPj1ESORX9RIN,81,2021-01-21,FALSE,1zEBi4O4AaY5M55dUcUp3z
69UfXSOLronhkUh4q3v20g,49,2019-10-10,TRUE,3o9pq1vFESK6532MR63Xwy
0tpwiiPosjP7vIocalfM8A,0,2018-02-09,TRUE,7jbsq97E1UVDTZT3GVNXT4
1vGaiqauUeQDnm7RK4tvJg,42,2020-06-26,FALSE,4V6G8ByHFXDR3onM0U3hGW
4ZUi91hQVp7hT1N74QZAcw,0,2019-12-16,FALSE,2MfMCjenswM6tY0kGZeCzu
1lHFLVG6bKH5mA9tiDxN5M,0,2019-11-17,FALSE,7KLZhG1dBRDodvb3bnttbf
2VAU6X1A3VVhSneZIcXKpt,51,2019-08-16,FALSE,6CLlWqMKd95lyqfHKBzSM4
3SR45x3OBpDUMNnizoZgOZ,3,2004,FALSE,0O4xlNIfkZ0CU1VtG4j3H2
2J0AJV5DsKyDuX1qEgJngB,59,2020-09-11,TRUE,7zrUnXByeOKHbXY3fyn6vz
0DULxujD9iTijsPGK1jLcy,38,2017-09-27,FALSE,1Ji8j0A5MSZXEZNm7339gn
76alOdiSStXYAn5wUwdPat,57,2021-09-29,TRUE,4qXKJv0krGJiNbXl6Isb4T
5ORh5a9svQOqWEOs6miK0U,1,2020-02-21,FALSE,5VVYb3HrVjb2yovLsI5Qb3
46nvQpUDsxpS08UTFOeKTA,84,2021-10-29,FALSE,27rVuwJ0g0eKRpnvEhQl3G
29vHxYD48qrZAwgmzP6MXb,33,2019-05-05,FALSE,4MaXnFPKQXHK7voqrWGEPn
4HTIPHyuPiNCQ5p8y2MtTD,38,2020-06-12,FALSE,53RWfx9LL6Yz3oCytuUarn
3OAHQnSOXN4bEtTNpqUJIx,0,2017-12-15,TRUE,66MRUTlzmVl9zr7bT7HxlK
7nY0TjOsD1BZehkZgLiOxO,0,2017-06-09,TRUE,03ntx95u0wotf68NnE3aGw
0HErgj1VPrxyN8sHtw8gtW,18,2019-09-06,FALSE,0Rotgrd8SHhDZISfZPOyke
4My4f97Lne99KUY1x2FhUJ,34,2021-04-22,FALSE,0h7aIc9PofqkbcHvzumk2Y
6vwDc7cVKOPLYJ5GigJS3h,40,2018-06-01,FALSE,1TihBUTClBvy1lxkCo6nIo
03uDtNwgN3S9tGqL2ojnXH,14,2018-07-06,FALSE,5lCHd2EqaynUXZmBwcF6sw
6ZCsp2zQsSTCilvGVefGVN,45,2017-05-26,TRUE,7nn2Iaphg0Vc1NCGULkhVo
2bJvI42r8EF3wxjOuDav4r,83,2014-11-21,TRUE,4EUf4YyNjuXypWY6W5wEDm
33rp9HxDEoriuRUOr0iWpX,45,2018-10-12,FALSE,4oU5Tp952fPL7z2Bax4JmU
1ZzRQer7fYeLYfgZuKVbkx,57,2020-10-02,TRUE,62Yd5v100Og1YZ7FNsGv9q
2QbGvQssb0VLLS4x5NOmyJ,69,2019-05-31,TRUE,6PkSBdx19zarn4ae1D08gA
3KLo7ByvjCNyBrfz5DZ2mO,67,2019-03-22,TRUE,6GDXnx6AUDGH0tpxXQX0Kn
5O9zs6G6RcB6yP1OKwnwiM,66,2018-05-11,TRUE,7dAm8ShwJLFm9SaJ6Yc58O
5k0zwGPg7ndLbLDZa9Ns3Z,38,2019-07-12,TRUE,5By9BZR5hxGhbkeq7sAcqZ
