region,id,top_position
Belgium,02dRkCEc8Q5ch4TTcnLxOn,102
Guatemala,4Ft0391aLVNtCPPseh98lp,74
Italy,2Gl0FzuLxflY6nPifJp5Dr,30
Netherlands,3X7H1FAiWAW937WvsFeMhe,76
South Africa,6F2r4HgpJnvKDmkN6JEN6J,23
Denmark,7g04srseIxDHZzOj19Bswq,75
Canada,4j5ffIFh7bFT7GZciP1TCy,123
United Arab Emirates,31sSFHIe4NaxltVFOEIcTa,71
Ireland,11ZBXA6WiIedNFwTEnaLLj,75
Chile,1yZQ5BESTRyYzu1ks90G5f,171
Brazil,1FSn7B4RfmM7USp7IbCCwd,122
Indonesia,2Ghu1DdMwxS3VAyB7i38Wo,54
Taiwan,4cG7HUWYHBV6R6tHn1gxrl,169
Switzerland,6wVN8Gw8liS7Quu48pXLHS,143
Switzerland,2sGF7DBXvL2GjkbG606m1G,151
United Kingdom,1N4yqk8ZBwS81QO1bLl2xw,107
Spain,4pvb0WLRcMtbPGmtejJJ6y,114
France,65Uc29xtvhUIk6KUASvQ7Z,5
Denmark,6w4m3QzPmde3x96lVZFtso,30
Uruguay,2P303nWeYsuHb2MQiDBdoB,136
United Kingdom,3aUp8U4MNWctRXlY5MPysv,152
Sweden,3gx9sGz4yWczhfvt8i0MCK,182
Romania,5BK0uqwY9DNfZ630STAEaq,55
Switzerland,5Z0Mx6SeUAFA2rgZB9t1Nu,58
Iceland,7x8dCjCr0x6x2lXKujYD34,71
Honduras,4au7FRcgZzChASRYu279xH,41
Argentina,5olxoiU59KJZTbqyzki5TW,68
Malaysia,0nqVZfVnYNthlRiMZBtu5p,163
Colombia,1s4jVre4ZgBm3sVJP1NTrl,193
United Kingdom,5xi2SXmF3A5AIsuGXiUIZu,76
New Zealand,0uqFTuDLbIyCZG9yNYsqcG,133
Netherlands,7muicvRPVglfHRtBHpSFqH,1
Australia,7bJwvubZZaoGE1AGEfu8Fi,84
Canada,63TyoT9Ee03rQxv8xmdJ2l,18
Turkey,2a6bzWnkJpZi7mFec9JlIA,4
Belgium,4Lv2ux8hCX7Besyr7ieXIc,84
Iceland,2IjdadUTHEJziiFkFMq48t,45
Viet Nam,1pIMxRddmCGalHnRbLFkWg,22
Spain,2iCOdoyDmWG3hWkbtH1KB2,38
Bulgaria,43rA71bccXFGD4C8GOpIlN,30
Slovakia,2d1MywHy6FwKdzxFuSJnwl,38
India,4tyX1rw9X309WkEdh2As4B,189
Canada,6CUBgX8bXC5YQCkdgRHqyg,66
Czech Republic,5vMwmfhNcMi3pgGwfutVqI,13
United States,0fea68AdmYNygeTGI4RC18,30
France,2f7MdZ9Vjj5VGhGtUQzGKt,145
Global,1dLXLETYiZohIZWnse4ypG,26
Switzerland,0OkMZx36jAnr9epv0gS4ND,67
Brazil,7sCdzif8vD8XN1jgdYFL1q,91
Australia,4wvnXoQqjIOoEis5eyTbCl,124
Uruguay,52PVGjg5sUhfs9PHiSl02c,19
Finland,2ng98WyIOWGTCm71TXB4gi,2
Finland,6wX4D8mWF9S6nT8HZGNz3w,119
Luxembourg,35mvY5S1H3J2QZyna3TFe0,5
Taiwan,1cRiR4nkVEfmE7m5s7fZ1B,80
Bolivia,70eFcWOvlMObDhURTqT4Fv,66
Hong Kong,7bcy34fBT2ap1L4bfPsl9q,102
United States,116HT0QgVhzSxydCwRgpTY,147
Luxembourg,5TZC5lW7nQDpaPkQlgtIdf,135
Costa Rica,1bRpSCFv6P2OUhciByeRYR,20
